dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,BP,Count_Nmix,1535.31296605637,1088.7568790118232,2204.867689669537
Away,BP,Count_Nmix,4970.827661697644,3534.6723609980777,7160.87882876022
Perpendicular,BP,Count_Nmix,1710.6260615864035,1230.8140270796162,2436.6115440898807
