current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,Pois,joint_masked_uSCR,1179.6413984853364,860.0713853162791,1641.3459089926812
Away,Pois,joint_masked_uSCR,1565.5364153435753,1166.6284672902268,2138.5056860114237
Perpendicular,Pois,joint_masked_uSCR,2357.4485400223093,1973.8781331644566,2811.2531692237144
