current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,Pois,joint_VPSasCovar_uninformativePrior_uSCR_wROV,10266.093087920335,7128.197603701671,13605.461312568852
Away,Pois,joint_VPSasCovar_uninformativePrior_uSCR_wROV,17240.937981393086,12324.183744968428,22041.36135652976
Perpendicular,Pois,joint_VPSasCovar_uninformativePrior_uSCR_wROV,11248.737724656632,7827.334695938931,14707.681742711142
