current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,Pois,joint_VPSasCovar_uSCR_wROV,11058.9550984228,8806.69702806147,19099.54958388856
Away,Pois,joint_VPSasCovar_uSCR_wROV,18529.54065509046,15043.453512412285,30295.900236078942
Perpendicular,Pois,joint_VPSasCovar_uSCR_wROV,12123.067260842801,9686.761277658532,20436.033805192546
