current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,Binom,Binom_VPSasCovar_wROV,14712.347442599983,11864.246663901831,18517.087830528948
Away,Binom,Binom_VPSasCovar_wROV,13574.833611740702,10869.120984977122,17341.05614946653
Perpendicular,Binom,Binom_VPSasCovar_wROV,15126.538864764934,11240.93115304317,19245.17258947147
