dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,NB,Count_GLM,699.7420145501885,169.3152620169389,3712.4399385886054
Away,NB,Count_GLM,2463.166994230357,456.2894686348639,9134.270961926652
Perpendicular,NB,Count_GLM,591.9801395852621,145.32485625761421,3298.3856134876905
