dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,BBP,Count_Nmix,1236.0708253043963,860.943149255036,1704.282421781957
Away,BBP,Count_Nmix,3138.421466336559,2200.3092408711545,4582.786865457446
Perpendicular,BBP,Count_Nmix,1317.57771295242,923.833098731253,1874.2950556252895
