current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,Pois,joint_VPSasCovar_uSCR,7834.84188691947,4713.7780169353255,11798.20119502776
Away,Pois,joint_VPSasCovar_uSCR,13954.233679885656,8689.714907246555,19994.081791047236
Perpendicular,Pois,joint_VPSasCovar_uSCR,8674.721530130788,5443.531329984259,12714.988204733738
