dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,ZIP,Count_GLM,164.31152338765787,128.4989795320984,220.73127651613072
Away,ZIP,Count_GLM,317.3611830893685,247.87180871838922,423.3622848259561
Perpendicular,ZIP,Count_GLM,166.22812114851524,129.4863018375192,222.27120779337315
