current_dir,distr,prefix,ESA_q50,ESA_q025,ESA_q975
Towards,NB,joint_masked_uSCR,143.84326549752635,56.731615017318475,548.658666225207
Away,NB,joint_masked_uSCR,430.2241035186306,127.7302028236559,2326.5121048049605
Perpendicular,NB,joint_masked_uSCR,245.9884873506174,97.67791262600392,799.7865077759662
